t,fn,fp,err
965206.2032005852,0,4,491
685839.7562804398,2,1,486
672929.9975505358,2,1,486
672929.9975505358,2,1,486
661836.4866676463,2,1,486
647351.6952557906,2,1,486
637774.754413886,2,1,486
631089.4660699526,2,1,486
621434.1618790727,2,1,486
612128.4230011643,2,1,486
604495.5821572368,2,1,486
600265.3634993207,8,1,480
595348.0337284186,18,1,470
590821.5713685211,22,1,466
587722.9984755992,28,1,460
585761.5107836206,33,1,455
582170.86098661,45,1,443
579442.9288145966,57,1,431
575082.6121215728,70,1,418
571833.5821115181,78,1,410
569186.2846364717,88,1,400
566687.0526214159,94,1,394
565415.8621113854,101,1,387
562856.466332331,106,1,382
561490.1701803004,112,0,375
559445.3727342603,117,0,370
558084.8299132418,121,0,366
556555.5580862353,126,0,361
555331.3839232409,129,0,358
554444.7298682483,132,0,355
553366.9127432541,137,0,350
552622.2138652601,143,0,344
551777.908074265,145,0,342
551214.6536412654,149,0,338
550763.7721682668,153,0,334
550341.2122262674,154,0,333
549210.812151275,156,0,331
548021.0192602851,157,0,330
547243.9287502894,158,0,329
546448.0664312951,160,0,327
546207.3978002972,164,0,323
546097.5364052983,165,0,322
545968.2877052996,169,0,318
545459.9094853046,169,0,318
545345.7398003058,170,0,317
544981.6892953094,171,0,316
544376.3745503154,171,0,316
544033.8654953189,172,0,315
543777.5222403214,173,0,314
543277.7606003263,175,0,312
