seed,base,count,corr,queue
1691,1851882.058277332,825340.9759982296,816013.784844767,770296.8664127163
1623,2075115.4625304034,815010.7271971811,786182.0755634403,1215736.0148917479
1367,1505251.8579299245,690464.7572209535,630086.5285772025,590411.8679363684
1746,708016.2660371922,287846.0082860945,328126.1392821018,708041.5397111923
299,1552670.8248884536,789296.687637567,708789.054566454,599469.0569124257
374,1981267.5068902795,800371.8132624888,763320.3224092578,896241.9849024307
1597,2314497.67113538,1119901.465236998,1013786.7042075082,962025.5840551141
639,1791584.0127385408,757961.6691030937,732958.1827075843,1324379.054865502
1981,1946973.919396588,727128.9305676597,700699.1054437074,698398.5276483487
1356,1792421.121506171,659826.8071254651,577122.8298001605,758694.5390068771
1863,1963395.3745265498,623368.6098869715,608512.2909299497,608512.2909299497
1925,792296.3557407914,323799.15769972425,306661.1173259526,792305.3274437913
925,1817744.422183372,943105.5189891999,817048.161500857,764079.5664224366
1329,1469268.6807997725,567112.1009392758,578414.6938441232,574072.1269441148
1265,484135.9713778623695,1376691.058587006,482303.9279147901,424601.294909
258,937078.7795685378,526561.6986446718,574475.3506177128,559793.3240447834
397,1837872.2466995593,790318.2545210905,672002.4427712121,652503.0056896961
627,1456102.4209167466,519542.3323348043,442753.60678673023,1456116.0814297467
1937,1961641.7659020913,774717.5636976982,671465.123885746,916579.7670039082
816,1715911.4804469524,789918.1147511847,761017.2952782968,694812.8567660451
418,1158432.3464781805,539130.4812056067,455371.85261407227,691345.1953070315
1127,1437429.6759002034,702839.4368391967,637636.1131583605,590643.4641545329
807,1237653.9528913016,479842.9075094032,476409.6964160371,476409.6964160371
344,874599.3077322389,406850.7001817497,373025.62672397535,373025.62672397535
692,1983702.3143781056,654173.0569646014,662473.8517128737,662473.8517128737
916,1964384.472004459,758143.95113973,732481.8996574475,732481.8996574475
1555,2068659.918160007,937532.2924101173,868535.9660298434,822947.90780686
617,971946.4195823511,515281.67448451044,404851.8604043659,398593.4300844605
576,1245912.438295925,562732.1242098698,586709.9516619365,657798.8399356807
1791,2116155.222284951,1136772.9219020477,974930.4213465216,913683.4142720983
1431,1235002.8069892514,599406.1681729935,603453.9327191527,597380.7044210993
544,2081359.0414094282,1132288.3833295887,927934.1661108298,786041.1831459707
876,2323391.1760988105,863768.776365879,766486.0425368247,957314.5330681147
1757,2205546.289432032,1000745.022774168,1020479.1731727538,918164.8447317029
822,2399727.9398668217,1267057.5423875665,1217211.4216148013,1013483.5027488752
299,1552670.8248884536,789296.687637567,708789.054566454,599469.0569124257
37,1415252.445752334,505707.77208287595,539385.6165084462,539385.6165084462
1659,1040465.8330898528,507587.0806595689,463143.0794243994,463143.0794243994
1163,589022.3118047287,332914.4337530186,330779.4251891279,502708.00793740153
278,2195099.212410917,853847.7824663729,758000.6742526151,1518165.2831524815
843,1961731.566279739,751309.8228411739,653328.6792292388,951028.1529439904
37,1415252.445752334,505707.77208287595,539385.6165084462,539385.6165084462
124,948624.0246179473,425469.1866701114,437527.6074265668,379238.1641946346
1582,1373407.8184060594,697858.7389465567,604755.3192562854,534313.9470627392
706,2110367.1227518935,657949.0503352529,646997.463288796,646997.463288796
86,1293310.5564574064,538887.9625415669,508034.06629715697,491474.2512115581
1417,2356031.1774630193,967346.4353591356,945881.5666009997,879516.3669301941
894,866447.2975081113,443324.8431815568,404927.1128655599,378562.5609983863
961,2241074.212317731,1149569.9448966389,1004157.4451635537,912853.9452194766
1112,863566.5642586059,399940.82677891856,399940.82677891856,399940.82677891856
